Institution,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/Precipitation,Sunny Days
Simmons University,Boston,MA,36°/19°,57°/41°,82°/66°,62°/42°,130,200
Muhlenberg College,Allentown,PA,38°/20°,62°/ 39°,86°/63°,65°/41°,122,201
Massachusetts Maritime Academy,Buzzards Bay,MA,38°/20°,55°/37°,80°/63°,62°/43°,106,199
Manhattan College,Riverdale,NY,38°/25°,63°/45°,85°/67°,65°/48°,123,200
University of Minnesota-Duluth,Duluth,MN,21°/3°,48°/30°,75°/56°,52°/36°,114,179
Northern Michigan University,Marquette,MI,24°/10°,48°/31°,76°/57°,54°/38°,158,189
Michigan Technological University,Houghton,MI,23°/7°,49°29°,76°/54°,53°/35°,184,184
University of Wyoming,Laramie,WY,35°/11°,52°/25°,80°/48°,56°/27°,231,233
Bowdoin College,Brunswick,ME,30°/9°,53°/32°,78°/58°,58°/37°,133,200
University of Maine,Orono,ME,28°/7°,53°/33°,80°/58°,57°/37°,121,178
Colby College,Waterville,ME,28°/8°,53°/33°,80°/59°,58°/38°,127,196
Bates College,Lewiston,ME,28°/9°,53°/33°,79°/59°,57°/38°,132,197
Norwich University,Northfield,VT,27°/6°,54°/30°,80°/55°,57°/34°,144,165
University of North Dakota,Grand Forks,ND,16°/-3°,54°/31°,81°/57°,54°/33°,97,197
St Lawrence University,Canton,NY,26°/5°,54°/33°,79°/58°,57°/37°,147,160
SUNY College at Potsdam,Potsdam,NY,26°/6°,54°/33°,79°/58°,57°/37°,150,160
Clarkson University,Potsdam,NY,26°/6°,54°/33°,80°/58°,57°/37°,149,161
SUNY College at Plattsburgh,Plattsburgh,NY,27°/8°,54°/34°,80°/60°,57°/39°,117,159
SUNY College at Oswego,Oswego,NY,30°/15°,54°/36°,80°/60°,58°/42°,167,161
SUNY Oneonta,Oneonta,NY,29°/12°,55°/32°,55°/32°,57°/37°,146,155
Colgate University,Hamilton,NY,30°/11°,55°/32°,79°/56°,58°/36°,,160
SUNY Cortland,Cortland,NY,29°/13°,55°/34°,79°/57°,58°/37°,159,157
University of Vermont,Burlington,VT,28°/9°,55°/34°,81°/60°,57°/39°,150,159
Lawrence University,Appleton,WI,25°/9°,55°/35°,81°/61°,58°/38°,115,189
Hobart William Smith Colleges,Geneva,NY,32°/17°,55°/36°,81°/61°,60°/42°,135,164
Endicott College,Beverly,MA,35°/18°,55°/36°,80°/61°,61°/41°,114,201
Salem State University,Salem,MA,35°/18°,55°/36°,61°/41°,61°/41°,122,201
Salve Regina University,Newport,RI,38°/23°,56° /39°,80°/64°,63°/47°,126,207
Alfred University,Alfred,NY,32°/13°,56°/31°,80°/55°,59°/36°,123,162
College of Saint Benedict,Saint Joseph,MN,22°/2°,56°/32°,82°/60°,57°/36°,104,199
University of Minnesota-Morris,Morris,MN,21°/2°,56°/33°,82°/60°,57°/35°,99,198
Saint Johns University,Collegeville,MN,22°/2°,56°/33°,82°/60°,57°/37°,101,199
North Dakota State University-Main Campus,Fargo,ND,18°/0°,56°/33°,82°/60°,56°/35°,99,200
South Dakota State University,Brookings,SD,23°/4°,56°/33°,82°/60°,58°/35°,85,212
Binghamton University,Vestal,NY,31°/14°,56°/34°,80°/58°,59°/38°,158,154
Cornell University,Ithaca,NY,32°/15°,56°/34°,81°/58°,60°/39°,159,154
Ithaca College,Ithaca,NY,32°/15°,56°/34°,81°/58°,60°/39°,159,155
Ripon College,Ripon,WI,26°/7°,56°/34°,81°/59°,58°/37°,108,188
Assumption College,Worcester,MA,32°/14°,56°/34°,80°/59°,59°/38°,130,197
Worcester Polytechnic Institute,Worcester,MA,32°/14°,56°/34°,80°/59°,59°/38°,134,197
Hamilton College,Clinton,NY,29°/12°,56°/35°,80°/59°,59°/38°,164,161
Clark University,Worcester,MA,33°/14°,56°/35°,80°/60°,60°/39°,130,197
University at Buffalo,Buffalo,NY,32°/17°,56°/36°,81°/61°,60°/42°,164,155
Canisius College,Buffalo,NY,32°/17°,56°/36°,81°/61°,81°/61°,165,157
Syracuse University,Syracuse,NY,31°/15°,56°/36°,81°/61°,60°/41°,165,163
Rochester Institute of Technology,Rochester,NY,32°/17°,56°/36°,82°/61°,60°/41°,142,165
University of Rochester,Rochester,NY,32°/17°,56°/36°,82°/61°,60°/41°,142,165
Milwaukee School of Engineering,Milwaukee,WI,30°/14°,56°/37°,83°/63°,61°/42°,123,191
Marquette University,Milwaukee,WI,30°/14°,56°/37°,83°/63°,83°/63°,123,191
Montana State University,Bozeman,MT,36°/13°,57°/30°,84°/51°,60°/31°,113,188
Middlebury College,Middlebury,VT,29°/9°,57°/33°,82°/58°,59°/37°,132,159
Dartmouth College,Hanover,NH,29°/8°,57°/33°,82°/58°,59°/36°,136,193
Central Michigan University,Mount Pleasant,MI,29°/13°,57°/34°,83°/59°,59°/39°,108,170
Williams College,Williamstown,MA,31°/12°,57°/34°,80°/57°,59°/37°,130,180
Bennington College,Bennington,VT,30°/12°,57°/34°,79°/57°,59°/37°,138,180
Massachusetts College of Liberal Arts,North Adams,MA,31°/12°,57°/34°,80°/57°,59°/37°,137,188
Fitchburg State University,Fitchburg,MA,32°/13°,57°/34°,81°/59°,60°/38°,127,197
University of New Hampshire-Main Campus,Durham,NH,33°/13°,57°/34°,81°/58°,61°/38°,118,199
SUNY College at Geneseo,Geneseo,NY,32°/16°,57°/35°,81°/59°,60°/40°,157,165
Carleton College,Northfield,MN,23°/5°,57°/35°,82°/61°,59°/37°,102,192
Gustavus Adolphus College,Saint Peter,MN,24°/5°,57°/35°,83°/62°,59°/37°,86,196
College of the Holy Cross,Worcester,MA,33°/14°,57°/35°,81°/60°,61°/38°,128,197
Michigan State University,East Lansing,MI,30°/17°,57°/36°,82°/61°,82°/61°,174,174
Saint Anselm College,Manchester,NH,33°/13°,57°/36°,82°/61°,61°/39°,199,123
SUNY College of Environmental Science and Forestry,Syracuse,NY,31°/15°,57°/36°,81°/61°,60°/42°,166,161
SUNY College at Brockport,Brockport,NY,32°/17°,57°/36°,82°/61°,60°/42°,153,165
University of Idaho,Moscow,ID,37°/26°,57°/36°,83°/49°,60°/36°,116,169
Washington State University,Pullman,WA,37°/26°,57°/36°,83°/50°,60°/36°,116,172
Oakland University,Rochester Hills,MI,30°/16°,57°/36°,82°/61°,59°/40°,123,179
University of Wisconsin-Madison,Madison,WI,27°/10°,57°/36°,82°/61°,60°/39°,115,187
University of Connecticut,Storrs,CT,34°/15°,57°/36°,80°/60°,61°/40°,122,191
University of Rhode Island,Kingston,RI,38°/19°,57°/36°,81°/60°,63°/40°,123,201
Mercyhurst University,Erie,PA,34°/20°,57°/37°,81°/62°,61°/44°,171,151
SUNY at Fredonia,Fredonia,NY,34°/20°,57°/38°,81°/63°,61°/45°,144,158
Lake Forest College,Lake Forest,IL,31°/16°,57°/38°,82°/63°,62°/42°,121,190
Northeastern University,Boston,MA,36°/19°,57°/38°,82°/63°,62°/42,130,200
Boston University,Boston,MA,36°/19°,57°/38°,82°/63°,62°/42°,130,200
Wentworth Institute of Technology,Boston,MA,36°/19°,57°/38°,83°/62°,62°/42°,132,201
Harvard University,Cambridge,MA,36°/19°,57°/38°,82°/63°,62°/43°,133,201
Massachusetts Institute of Technology,Cambridge,MA,36°/19°,57°/38°,82°/63°,62°/43°,133,201
Tufts University,Medford,MA,36°/19°,57°/38°,82°/63°,62°/43°,134,201
University of Massachusetts-Boston,Boston,MA,36°/20°,57°/39°,82°/64°,62°/44°,128,201
Emerson College,Boston,MA,36°/20°,57°/39°,82°/64°,62°/44°,132,201
Suffolk University,Boston,MA,36°/20°,57°/39°,82°/64°,62°/44°,132,201
Connecticut College,New London,CT,38°/21°,57°/39°,81°/64°,63°/44°,118,203
United States Coast Guard Academy,New London,CT,38°/21°,57°/39°,81°/64°,63°/44°,118,203
St Olaf College,Northfield,MN,23°/5°,57°35°,82°/61°,59°/37°,102,192
